; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 25 13:49:23 2019
; Channels (16/16)
; Sample rate: 4 MHz
; Sample count: 38.154112M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
4.1624995,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16250125,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1626815,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16268325,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162685,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16268575,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16268625,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16268775,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1626885,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162689,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16269025,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16269125,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162693,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162694,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16269575,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16269675,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1626985,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1626995,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16270125,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16270225,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162704,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162705,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1627065,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16270775,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16270925,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16271025,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162712,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162713,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16271475,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16271575,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1627175,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1627185,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16272025,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16272125,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1627215,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16272275,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162724,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1627255,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1627265,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162727,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16272825,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16272925,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162731,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162732,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1627325,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162837,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16283975,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1628415,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16284325,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162844,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628445,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162846,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16284675,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16284725,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628485,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1628495,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16285125,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16285225,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162854,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162855,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16285675,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16285775,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628595,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1628605,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162861,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16286225,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16286325,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16286375,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162865,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162866,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628665,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16286975,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16287025,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162871,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16287275,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16287375,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628755,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1628765,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16287825,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16287925,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162881,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162882,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1628835,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16288475,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
